hospitalId,hospital_name,resourceType,ts,used,on_hand,total_quantity,available,borrow_quantity,urgency_level,transfer_in_qty,transfer_out_qty,hospital_latitude,hospital_longitude,district,state
WB_CMCH,Calcutta Medical College,oxygen,18-07-2022,194,599,580,405,19,Low,15,14,22.5726,88.3639,Kolkata,West Bengal
KL_MCH,Med Coll Thiruvananthapuram,ambulance,12-02-2018,21,135,140,114,20,Low,17,17,8.5241,76.9366,Thiruvananthapuram,Kerala
CH_GMCH,GMCH Chandigarh,ventilator,25-07-2023,52,264,248,212,26,High,17,25,30.7333,76.7794,Chandigarh,Chandigarh
HP_IGMC,IGMC Shimla,ventilator,17-01-2023,39,317,302,278,30,Medium,10,28,31.1048,77.1734,Shimla,Himachal Pradesh
MH_KEM,KEM Hospital,ventilator,18-08-2020,72,260,246,188,14,High,11,14,18.9782,72.8168,Mumbai,Maharashtra
JH_RIMS,RIMS Ranchi,ambulance,06-03-2019,32,158,176,126,14,Low,10,14,23.3441,85.3096,Ranchi,Jharkhand
OR_SCB,SCB Med Coll Cuttack,ventilator,09-11-2015,24,227,246,203,26,Medium,12,15,20.4625,85.8828,Cuttack,Odisha
MP_Hamidia,Hamidia Hospital Bhopal,ventilator,03-08-2023,67,295,276,228,19,High,13,16,23.2599,77.4126,Bhopal,Madhya Pradesh
CH_GMCH,GMCH Chandigarh,oxygen,06-07-2015,197,595,522,398,73,Low,11,34,30.7333,76.7794,Chandigarh,Chandigarh
HR_PGIMS,PGIMS Rohtak,oxygen,15-12-2021,220,707,683,487,24,Low,11,18,28.8955,76.6066,Rohtak,Haryana
WB_CMCH,Calcutta Medical College,oxygen,26-08-2017,199,465,450,266,15,Low,12,14,22.5726,88.3639,Kolkata,West Bengal
TN_CMC,Christian Medical College,ambulance,26-04-2017,20,123,153,103,17,High,12,14,12.926,79.1356,Vellore,Tamil Nadu
HP_IGMC,IGMC Shimla,ambulance,01-04-2020,31,90,107,59,12,Medium,10,11,31.1048,77.1734,Shimla,Himachal Pradesh
KA_NIMHANS,NIMHANS Bengaluru,ambulance,14-09-2015,28,102,109,74,16,Medium,13,10,12.943,77.5966,Bangalore Urban,Karnataka
KA_NIMHANS,NIMHANS Bengaluru,bed,07-04-2022,428,1220,1190,792,30,Medium,23,27,12.943,77.5966,Bangalore Urban,Karnataka
JH_RIMS,RIMS Ranchi,oxygen,25-06-2018,212,870,850,658,20,High,11,16,23.3441,85.3096,Ranchi,Jharkhand
MH_KEM,KEM Hospital,ambulance,14-01-2022,29,201,211,172,10,Low,10,10,18.9782,72.8168,Mumbai,Maharashtra
GJ_Civil,Civil Hospital Ahmedabad,ambulance,02-08-2024,20,81,95,62,20,Low,13,14,23.0225,72.5714,Ahmedabad,Gujarat
KL_MCH,Med Coll Thiruvananthapuram,oxygen,01-06-2018,197,720,644,523,76,Medium,50,67,8.5241,76.9366,Thiruvananthapuram,Kerala
RJ_SMS,SMS Hospital Jaipur,bed,18-06-2022,365,929,898,564,31,High,17,18,26.9124,75.7873,Jaipur,Rajasthan
MH_KEM,KEM Hospital,oxygen,27-02-2022,209,872,830,663,42,Medium,17,24,18.9782,72.8168,Mumbai,Maharashtra
PB_PGI,PGIMER Chandigarh,bed,12-10-2024,386,646,578,260,68,Low,26,35,30.75,76.78,Chandigarh,Punjab
TS_Gandhi,Gandhi Hospital Hyderabad,bed,14-10-2015,412,741,722,329,19,High,14,14,17.385,78.4867,Hyderabad,Telangana
DL_AIIMS,AIIMS Delhi,ventilator,21-07-2020,53,164,153,111,25,Low,23,21,28.5672,77.21,New Delhi,Delhi
TN_CMC,Christian Medical College,ambulance,05-10-2018,21,138,162,117,15,Low,11,15,12.926,79.1356,Vellore,Tamil Nadu
HR_PGIMS,PGIMS Rohtak,ventilator,25-05-2023,49,313,314,264,27,Medium,21,20,28.8955,76.6066,Rohtak,Haryana
CH_GMCH,GMCH Chandigarh,ventilator,12-01-2020,54,177,160,123,17,Low,17,16,30.7333,76.7794,Chandigarh,Chandigarh
DL_AIIMS,AIIMS Delhi,ambulance,11-11-2022,30,191,196,161,10,Medium,10,10,28.5672,77.21,New Delhi,Delhi
PB_PGI,PGIMER Chandigarh,ventilator,10-02-2021,76,159,137,83,22,Low,12,16,30.75,76.78,Chandigarh,Punjab
UK_Haldwani,GMCH Haldwani,ambulance,09-05-2020,21,80,109,59,12,High,10,10,29.2183,79.5126,Nainital,Uttarakhand
WB_CMCH,Calcutta Medical College,bed,03-09-2024,403,767,697,364,70,High,63,48,22.5726,88.3639,Kolkata,West Bengal
AS_Gauhati,Gauhati Medical College,bed,04-08-2022,405,1376,1358,971,18,Medium,13,15,26.1445,91.7362,Guwahati,Assam
AS_Gauhati,Gauhati Medical College,oxygen,19-10-2020,231,852,800,621,52,Low,37,43,26.1445,91.7362,Guwahati,Assam
MP_Hamidia,Hamidia Hospital Bhopal,oxygen,13-08-2019,167,634,569,467,65,Low,63,30,23.2599,77.4126,Bhopal,Madhya Pradesh
OR_SCB,SCB Med Coll Cuttack,ventilator,04-03-2024,28,154,161,126,16,Low,10,14,20.4625,85.8828,Cuttack,Odisha
TN_CMC,Christian Medical College,bed,25-02-2017,374,854,784,480,70,High,20,54,12.926,79.1356,Vellore,Tamil Nadu
UP_SGPGIMS,SGPGIMS Lucknow,bed,09-06-2020,446,1066,1026,620,40,Low,24,33,26.8467,80.9462,Lucknow,Uttar Pradesh
MP_Hamidia,Hamidia Hospital Bhopal,bed,21-04-2018,393,1043,1031,650,12,Medium,11,11,23.2599,77.4126,Bhopal,Madhya Pradesh
TS_Gandhi,Gandhi Hospital Hyderabad,oxygen,07-06-2020,216,446,421,230,25,High,20,20,17.385,78.4867,Hyderabad,Telangana
PB_PGI,PGIMER Chandigarh,ventilator,07-08-2023,69,275,251,206,24,Medium,17,19,30.75,76.78,Chandigarh,Punjab
OR_SCB,SCB Med Coll Cuttack,oxygen,27-12-2017,198,567,556,369,11,Medium,11,10,20.4625,85.8828,Cuttack,Odisha
HP_IGMC,IGMC Shimla,ventilator,21-10-2021,46,174,177,128,28,High,14,25,31.1048,77.1734,Shimla,Himachal Pradesh
KL_MCH,Med Coll Thiruvananthapuram,ambulance,20-08-2016,21,46,50,25,18,High,11,16,8.5241,76.9366,Thiruvananthapuram,Kerala
KL_MCH,Med Coll Thiruvananthapuram,ventilator,13-07-2021,46,194,183,148,13,Low,10,11,8.5241,76.9366,Thiruvananthapuram,Kerala
WB_CMCH,Calcutta Medical College,bed,25-08-2020,385,804,785,419,19,High,17,18,22.5726,88.3639,Kolkata,West Bengal
HP_IGMC,IGMC Shimla,oxygen,01-10-2017,231,541,493,310,48,Low,40,19,31.1048,77.1734,Shimla,Himachal Pradesh
MP_Hamidia,Hamidia Hospital Bhopal,ventilator,25-01-2021,64,175,158,111,24,Low,22,23,23.2599,77.4126,Bhopal,Madhya Pradesh
GJ_Civil,Civil Hospital Ahmedabad,bed,08-11-2019,428,930,893,502,37,Low,27,36,23.0225,72.5714,Ahmedabad,Gujarat
DL_AIIMS,AIIMS Delhi,ventilator,21-07-2020,53,164,153,111,25,Low,23,21,28.5672,77.21,New Delhi,Delhi
MP_Hamidia,Hamidia Hospital Bhopal,ventilator,03-08-2024,63,151,126,88,29,High,11,10,23.2599,77.4126,Bhopal,Madhya Pradesh
MP_Hamidia,Hamidia Hospital Bhopal,ambulance,03-12-2023,20,148,167,128,19,High,14,18,23.2599,77.4126,Bhopal,Madhya Pradesh
DL_AIIMS,AIIMS Delhi,ambulance,11-05-2020,26,100,102,74,15,Medium,15,10,28.5672,77.21,New Delhi,Delhi
KL_MCH,Med Coll Thiruvananthapuram,bed,15-06-2015,412,967,939,555,28,High,16,19,8.5241,76.9366,Thiruvananthapuram,Kerala
GJ_Civil,Civil Hospital Ahmedabad,ambulance,18-07-2022,21,208,218,187,20,Low,10,12,23.0225,72.5714,Ahmedabad,Gujarat
AS_Gauhati,Gauhati Medical College,ventilator,05-01-2016,59,116,97,57,19,High,15,10,26.1445,91.7362,Guwahati,Assam
UP_SGPGIMS,SGPGIMS Lucknow,oxygen,07-05-2021,196,975,890,779,85,Low,14,15,26.8467,80.9462,Lucknow,Uttar Pradesh
OR_SCB,SCB Med Coll Cuttack,bed,25-11-2017,399,1210,1195,811,15,Medium,11,11,20.4625,85.8828,Cuttack,Odisha
OR_SCB,SCB Med Coll Cuttack,ambulance,26-08-2019,30,166,165,136,19,Low,17,15,20.4625,85.8828,Cuttack,Odisha
TS_Gandhi,Gandhi Hospital Hyderabad,oxygen,24-01-2019,217,592,551,375,41,Medium,10,36,17.385,78.4867,Hyderabad,Telangana
MP_Hamidia,Hamidia Hospital Bhopal,ambulance,12-04-2022,20,183,191,163,16,Low,16,13,23.2599,77.4126,Bhopal,Madhya Pradesh
TN_CMC,Christian Medical College,ventilator,03-03-2021,38,159,165,121,24,Medium,12,23,12.926,79.1356,Vellore,Tamil Nadu
TS_Gandhi,Gandhi Hospital Hyderabad,ventilator,10-11-2017,57,258,241,201,18,High,16,10,17.385,78.4867,Hyderabad,Telangana
OR_SCB,SCB Med Coll Cuttack,ambulance,03-06-2018,31,132,128,101,12,Low,11,11,20.4625,85.8828,Cuttack,Odisha
TN_CMC,Christian Medical College,oxygen,15-04-2019,191,1078,1018,887,60,Medium,44,59,12.926,79.1356,Vellore,Tamil Nadu
BR_PMCH,PMCH Patna,bed,16-06-2023,441,923,903,482,20,Low,11,10,25.61,85.1415,Patna,Bihar
CH_GMCH,GMCH Chandigarh,oxygen,06-07-2015,197,595,522,398,73,Low,11,34,30.7333,76.7794,Chandigarh,Chandigarh
JH_RIMS,RIMS Ranchi,ventilator,06-02-2023,64,339,324,275,15,Low,13,14,23.3441,85.3096,Ranchi,Jharkhand
CH_GMCH,GMCH Chandigarh,bed,09-07-2016,418,999,926,581,73,Medium,24,68,30.7333,76.7794,Chandigarh,Chandigarh
TN_CMC,Christian Medical College,oxygen,13-08-2020,188,795,724,607,71,Low,39,18,12.926,79.1356,Vellore,Tamil Nadu
UK_Haldwani,GMCH Haldwani,ventilator,22-01-2015,62,249,229,187,20,Low,12,17,29.2183,79.5126,Nainital,Uttarakhand
UP_SGPGIMS,SGPGIMS Lucknow,oxygen,08-03-2019,190,1194,1140,1004,54,Medium,24,40,26.8467,80.9462,Lucknow,Uttar Pradesh
WB_CMCH,Calcutta Medical College,bed,21-01-2022,377,1106,1076,729,30,Medium,15,24,22.5726,88.3639,Kolkata,West Bengal
MH_KEM,KEM Hospital,bed,20-08-2019,436,910,874,474,36,Medium,28,10,18.9782,72.8168,Mumbai,Maharashtra
KL_MCH,Med Coll Thiruvananthapuram,ventilator,24-02-2018,45,273,271,228,13,High,11,12,8.5241,76.9366,Thiruvananthapuram,Kerala
TS_Gandhi,Gandhi Hospital Hyderabad,ventilator,07-09-2016,45,165,166,120,29,Medium,11,16,17.385,78.4867,Hyderabad,Telangana
HR_PGIMS,PGIMS Rohtak,oxygen,05-11-2015,216,766,734,550,32,Low,19,10,28.8955,76.6066,Rohtak,Haryana
KA_NIMHANS,NIMHANS Bengaluru,bed,21-06-2023,431,1119,1102,688,17,Low,10,12,12.943,77.5966,Bangalore Urban,Karnataka
CH_GMCH,GMCH Chandigarh,oxygen,05-07-2020,197,522,469,325,53,Medium,50,38,30.7333,76.7794,Chandigarh,Chandigarh
KA_NIMHANS,NIMHANS Bengaluru,oxygen,15-11-2015,204,683,642,479,41,High,33,41,12.943,77.5966,Bangalore Urban,Karnataka
BR_PMCH,PMCH Patna,ventilator,11-04-2022,105,314,303,209,11,Medium,10,11,25.61,85.1415,Patna,Bihar
HP_IGMC,IGMC Shimla,ambulance,03-01-2024,30,61,76,31,16,Low,13,15,31.1048,77.1734,Shimla,Himachal Pradesh
JH_RIMS,RIMS Ranchi,ambulance,25-08-2017,31,123,119,92,15,High,13,10,23.3441,85.3096,Ranchi,Jharkhand
BR_PMCH,PMCH Patna,ventilator,11-04-2022,105,314,303,209,11,Medium,10,11,25.61,85.1415,Patna,Bihar
MP_Hamidia,Hamidia Hospital Bhopal,oxygen,15-03-2021,168,450,439,282,11,Low,11,11,23.2599,77.4126,Bhopal,Madhya Pradesh
TN_CMC,Christian Medical College,oxygen,28-10-2024,186,673,588,487,85,Medium,19,62,12.926,79.1356,Vellore,Tamil Nadu
KA_NIMHANS,NIMHANS Bengaluru,ventilator,17-08-2015,47,270,244,223,28,High,28,24,12.943,77.5966,Bangalore Urban,Karnataka
MP_Hamidia,Hamidia Hospital Bhopal,bed,15-02-2024,415,843,820,428,23,Medium,12,21,23.2599,77.4126,Bhopal,Madhya Pradesh
AS_Gauhati,Gauhati Medical College,ambulance,09-12-2017,25,126,140,101,15,High,13,14,26.1445,91.7362,Guwahati,Assam
MH_KEM,KEM Hospital,ventilator,16-08-2015,73,285,260,212,25,Low,20,25,18.9782,72.8168,Mumbai,Maharashtra
TS_Gandhi,Gandhi Hospital Hyderabad,oxygen,19-10-2016,214,334,230,120,21,High,19,21,17.385,78.4867,Hyderabad,Telangana
HP_IGMC,IGMC Shimla,bed,16-08-2017,376,804,769,428,35,High,13,32,31.1048,77.1734,Shimla,Himachal Pradesh
RJ_SMS,SMS Hospital Jaipur,ventilator,23-07-2019,51,253,228,202,30,Low,27,29,26.9124,75.7873,Jaipur,Rajasthan
MH_KEM,KEM Hospital,bed,22-03-2021,420,750,687,330,63,Low,11,59,18.9782,72.8168,Mumbai,Maharashtra
RJ_SMS,SMS Hospital Jaipur,bed,03-12-2017,382,747,735,365,12,Low,11,12,26.9124,75.7873,Jaipur,Rajasthan
HP_IGMC,IGMC Shimla,oxygen,23-09-2016,231,351,164,120,79,Low,27,27,31.1048,77.1734,Shimla,Himachal Pradesh
TN_CMC,Christian Medical College,ventilator,16-12-2020,41,171,159,130,12,Medium,11,12,12.926,79.1356,Vellore,Tamil Nadu
JH_RIMS,RIMS Ranchi,ventilator,15-09-2018,62,324,305,262,19,Medium,13,10,23.3441,85.3096,Ranchi,Jharkhand
HP_IGMC,IGMC Shimla,bed,27-08-2021,388,710,644,322,66,Medium,18,48,31.1048,77.1734,Shimla,Himachal Pradesh
CH_GMCH,GMCH Chandigarh,bed,16-09-2022,436,1384,1353,948,31,Medium,23,28,30.7333,76.7794,Chandigarh,Chandigarh
KL_MCH,Med Coll Thiruvananthapuram,bed,06-04-2023,405,1066,1041,661,25,Medium,22,25,8.5241,76.9366,Thiruvananthapuram,Kerala
PB_PGI,PGIMER Chandigarh,ambulance,16-05-2017,25,118,123,93,13,High,12,10,30.75,76.78,Chandigarh,Punjab
AS_Gauhati,Gauhati Medical College,oxygen,19-02-2019,231,1016,981,785,35,Medium,12,30,26.1445,91.7362,Guwahati,Assam
PB_PGI,PGIMER Chandigarh,ambulance,05-01-2015,26,105,112,79,18,Low,11,17,30.75,76.78,Chandigarh,Punjab
RJ_SMS,SMS Hospital Jaipur,oxygen,16-01-2023,223,790,726,567,64,Low,47,19,26.9124,75.7873,Jaipur,Rajasthan
PB_PGI,PGIMER Chandigarh,ventilator,07-08-2023,69,275,251,206,24,Medium,17,19,30.75,76.78,Chandigarh,Punjab
RJ_SMS,SMS Hospital Jaipur,oxygen,20-06-2015,215,631,588,416,43,Low,35,15,26.9124,75.7873,Jaipur,Rajasthan
WB_CMCH,Calcutta Medical College,oxygen,01-10-2020,200,413,400,213,13,Low,13,13,22.5726,88.3639,Kolkata,West Bengal
HR_PGIMS,PGIMS Rohtak,bed,09-03-2017,371,752,718,381,34,Low,23,29,28.8955,76.6066,Rohtak,Haryana
HP_IGMC,IGMC Shimla,bed,01-12-2020,387,750,710,363,40,Medium,40,23,31.1048,77.1734,Shimla,Himachal Pradesh
MH_KEM,KEM Hospital,bed,22-09-2020,418,767,750,349,17,Low,10,15,18.9782,72.8168,Mumbai,Maharashtra
WB_CMCH,Calcutta Medical College,ambulance,23-08-2023,33,146,156,113,12,Medium,12,12,22.5726,88.3639,Kolkata,West Bengal
PB_PGI,PGIMER Chandigarh,ventilator,11-07-2015,71,198,176,127,22,Low,22,15,30.75,76.78,Chandigarh,Punjab
AS_Gauhati,Gauhati Medical College,ventilator,06-06-2020,58,190,171,132,26,Low,25,13,26.1445,91.7362,Guwahati,Assam
DL_AIIMS,AIIMS Delhi,ventilator,20-04-2023,54,264,237,210,27,Low,14,23,28.5672,77.21,New Delhi,Delhi
KA_NIMHANS,NIMHANS Bengaluru,ventilator,24-08-2018,42,297,299,255,10,Low,10,10,12.943,77.5966,Bangalore Urban,Karnataka
PB_PGI,PGIMER Chandigarh,bed,26-02-2015,400,769,741,369,28,Low,13,28,30.75,76.78,Chandigarh,Punjab
AS_Gauhati,Gauhati Medical College,bed,04-01-2015,396,1177,1133,781,44,Low,19,16,26.1445,91.7362,Guwahati,Assam
AS_Gauhati,Gauhati Medical College,bed,01-03-2016,411,1011,983,600,28,Low,28,19,26.1445,91.7362,Guwahati,Assam
KL_MCH,Med Coll Thiruvananthapuram,oxygen,23-01-2024,184,431,378,247,53,Low,16,15,8.5241,76.9366,Thiruvananthapuram,Kerala
GJ_Civil,Civil Hospital Ahmedabad,oxygen,03-01-2017,228,983,961,755,22,Low,16,21,23.0225,72.5714,Ahmedabad,Gujarat
MH_KEM,KEM Hospital,oxygen,16-06-2019,214,830,763,616,67,High,39,22,18.9782,72.8168,Mumbai,Maharashtra
TS_Gandhi,Gandhi Hospital Hyderabad,bed,15-09-2022,401,936,888,535,48,High,20,19,17.385,78.4867,Hyderabad,Telangana
KL_MCH,Med Coll Thiruvananthapuram,oxygen,01-06-2018,197,720,644,523,76,Medium,50,67,8.5241,76.9366,Thiruvananthapuram,Kerala
MP_Hamidia,Hamidia Hospital Bhopal,bed,02-01-2021,407,879,843,472,36,Medium,35,34,23.2599,77.4126,Bhopal,Madhya Pradesh
MP_Hamidia,Hamidia Hospital Bhopal,bed,26-07-2015,408,964,919,556,45,Low,34,13,23.2599,77.4126,Bhopal,Madhya Pradesh
AS_Gauhati,Gauhati Medical College,ventilator,21-06-2015,56,220,191,164,30,Low,23,10,26.1445,91.7362,Guwahati,Assam
PB_PGI,PGIMER Chandigarh,bed,19-12-2023,402,869,856,467,13,Medium,10,11,30.75,76.78,Chandigarh,Punjab
MH_KEM,KEM Hospital,oxygen,04-01-2023,212,763,684,551,79,Low,73,51,18.9782,72.8168,Mumbai,Maharashtra
PB_PGI,PGIMER Chandigarh,ambulance,15-02-2024,26,61,66,35,19,Low,11,18,30.75,76.78,Chandigarh,Punjab
DL_AIIMS,AIIMS Delhi,bed,22-03-2020,393,717,666,324,51,Low,34,34,28.5672,77.21,New Delhi,Delhi
TN_CMC,Christian Medical College,bed,24-01-2015,378,784,734,406,50,Low,28,22,12.926,79.1356,Vellore,Tamil Nadu
UP_SGPGIMS,SGPGIMS Lucknow,oxygen,26-03-2024,197,890,840,693,50,Low,46,12,26.8467,80.9462,Lucknow,Uttar Pradesh
TN_CMC,Christian Medical College,ambulance,05-08-2015,20,106,121,86,14,High,13,13,12.926,79.1356,Vellore,Tamil Nadu
UK_Haldwani,GMCH Haldwani,bed,21-09-2021,407,700,642,293,58,Low,47,52,29.2183,79.5126,Nainital,Uttarakhand
AS_Gauhati,Gauhati Medical College,bed,20-01-2019,401,1358,1331,957,27,High,23,13,26.1445,91.7362,Guwahati,Assam
MH_KEM,KEM Hospital,ventilator,18-08-2020,72,260,246,188,14,High,11,14,18.9782,72.8168,Mumbai,Maharashtra
TN_CMC,Christian Medical College,oxygen,12-01-2015,189,809,795,620,14,Low,10,10,12.926,79.1356,Vellore,Tamil Nadu
TN_CMC,Christian Medical College,bed,25-12-2016,393,593,482,200,16,Low,16,11,12.926,79.1356,Vellore,Tamil Nadu
TS_Gandhi,Gandhi Hospital Hyderabad,ventilator,21-02-2019,59,330,320,271,20,Low,14,19,17.385,78.4867,Hyderabad,Telangana
CH_GMCH,GMCH Chandigarh,ambulance,16-09-2015,20,106,112,87,16,Medium,13,11,30.7333,76.7794,Chandigarh,Chandigarh
JH_RIMS,RIMS Ranchi,oxygen,25-06-2018,212,870,850,658,20,High,11,16,23.3441,85.3096,Ranchi,Jharkhand
UK_Haldwani,GMCH Haldwani,ambulance,06-09-2024,20,49,53,29,12,Low,12,12,29.2183,79.5126,Nainital,Uttarakhand
CH_GMCH,GMCH Chandigarh,ventilator,21-02-2018,54,238,213,184,25,Medium,17,20,30.7333,76.7794,Chandigarh,Chandigarh
UK_Haldwani,GMCH Haldwani,ventilator,01-11-2022,60,340,316,280,24,Low,20,10,29.2183,79.5126,Nainital,Uttarakhand
CH_GMCH,GMCH Chandigarh,bed,16-09-2022,436,1384,1353,948,31,Medium,23,28,30.7333,76.7794,Chandigarh,Chandigarh
CH_GMCH,GMCH Chandigarh,oxygen,05-08-2016,186,370,315,184,55,Low,50,38,30.7333,76.7794,Chandigarh,Chandigarh
JH_RIMS,RIMS Ranchi,bed,02-06-2015,413,725,670,312,55,High,54,25,23.3441,85.3096,Ranchi,Jharkhand
PB_PGI,PGIMER Chandigarh,bed,20-06-2022,403,959,937,556,22,Low,11,11,30.75,76.78,Chandigarh,Punjab
MH_KEM,KEM Hospital,bed,20-08-2019,436,910,874,474,36,Medium,28,10,18.9782,72.8168,Mumbai,Maharashtra
WB_CMCH,Calcutta Medical College,oxygen,01-10-2020,200,413,400,213,13,Low,13,13,22.5726,88.3639,Kolkata,West Bengal
CH_GMCH,GMCH Chandigarh,ambulance,28-08-2021,20,75,89,55,17,Low,14,16,30.7333,76.7794,Chandigarh,Chandigarh
UP_SGPGIMS,SGPGIMS Lucknow,ventilator,02-02-2020,46,206,191,160,15,High,11,15,26.8467,80.9462,Lucknow,Uttar Pradesh
KL_MCH,Med Coll Thiruvananthapuram,bed,15-06-2015,412,967,939,555,28,High,16,19,8.5241,76.9366,Thiruvananthapuram,Kerala
CH_GMCH,GMCH Chandigarh,oxygen,05-11-2022,196,842,825,646,17,Low,12,15,30.7333,76.7794,Chandigarh,Chandigarh
KL_MCH,Med Coll Thiruvananthapuram,oxygen,12-08-2023,195,761,720,566,41,Low,40,35,8.5241,76.9366,Thiruvananthapuram,Kerala
RJ_SMS,SMS Hospital Jaipur,ventilator,14-08-2015,45,177,169,132,23,High,23,12,26.9124,75.7873,Jaipur,Rajasthan
OR_SCB,SCB Med Coll Cuttack,bed,21-01-2019,383,1341,1269,958,72,Medium,24,62,20.4625,85.8828,Cuttack,Odisha
UK_Haldwani,GMCH Haldwani,ventilator,22-01-2015,62,249,229,187,20,Low,12,17,29.2183,79.5126,Nainital,Uttarakhand
TS_Gandhi,Gandhi Hospital Hyderabad,ambulance,18-08-2024,29,70,71,41,16,Low,11,14,17.385,78.4867,Hyderabad,Telangana
UP_SGPGIMS,SGPGIMS Lucknow,oxygen,07-05-2021,196,975,890,779,85,Low,14,15,26.8467,80.9462,Lucknow,Uttar Pradesh
CH_GMCH,GMCH Chandigarh,ambulance,14-06-2020,20,90,111,70,15,Low,13,11,30.7333,76.7794,Chandigarh,Chandigarh
KL_MCH,Med Coll Thiruvananthapuram,ambulance,22-08-2017,21,115,133,94,19,Low,17,10,8.5241,76.9366,Thiruvananthapuram,Kerala
JH_RIMS,RIMS Ranchi,oxygen,07-02-2015,216,784,760,568,24,Low,14,24,23.3441,85.3096,Ranchi,Jharkhand
MH_KEM,KEM Hospital,ventilator,18-04-2018,73,313,297,240,16,Low,15,11,18.9782,72.8168,Mumbai,Maharashtra
JH_RIMS,RIMS Ranchi,oxygen,23-07-2019,215,951,925,736,26,Medium,24,25,23.3441,85.3096,Ranchi,Jharkhand
MH_KEM,KEM Hospital,bed,18-07-2017,425,820,799,395,21,Low,14,19,18.9782,72.8168,Mumbai,Maharashtra
UP_SGPGIMS,SGPGIMS Lucknow,oxygen,26-01-2017,193,1074,1053,881,21,Low,14,10,26.8467,80.9462,Lucknow,Uttar Pradesh
PB_PGI,PGIMER Chandigarh,bed,14-05-2018,407,856,792,449,64,Low,56,57,30.75,76.78,Chandigarh,Punjab
DL_AIIMS,AIIMS Delhi,oxygen,28-07-2020,208,459,378,251,81,Medium,32,48,28.5672,77.21,New Delhi,Delhi
TN_CMC,Christian Medical College,oxygen,28-10-2024,186,673,588,487,85,Medium,19,62,12.926,79.1356,Vellore,Tamil Nadu
TN_CMC,Christian Medical College,oxygen,19-11-2018,187,970,891,783,79,Low,63,48,12.926,79.1356,Vellore,Tamil Nadu
RJ_SMS,SMS Hospital Jaipur,oxygen,05-04-2022,221,884,843,663,41,Low,36,33,26.9124,75.7873,Jaipur,Rajasthan
HP_IGMC,IGMC Shimla,ventilator,23-05-2018,38,287,278,249,28,Low,16,27,31.1048,77.1734,Shimla,Himachal Pradesh
KA_NIMHANS,NIMHANS Bengaluru,oxygen,11-02-2018,202,783,704,581,79,Medium,63,69,12.943,77.5966,Bangalore Urban,Karnataka
MH_KEM,KEM Hospital,bed,22-03-2021,420,750,687,330,63,Low,11,59,18.9782,72.8168,Mumbai,Maharashtra
MP_Hamidia,Hamidia Hospital Bhopal,oxygen,10-08-2023,170,569,538,399,31,Low,26,30,23.2599,77.4126,Bhopal,Madhya Pradesh
HR_PGIMS,PGIMS Rohtak,ambulance,17-05-2018,29,155,158,126,20,High,17,13,28.8955,76.6066,Rohtak,Haryana
JH_RIMS,RIMS Ranchi,ventilator,24-09-2019,62,368,344,306,29,Medium,16,22,23.3441,85.3096,Ranchi,Jharkhand
